"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"ADDR0","1","JUMPER-SMT_3_1-NC_TRACE_SILK","","","","KiCAD_Camsat_PCB:SMT-JUMPER_3_1-NC_TRACE_SILK",""
"C1,C2,C26","3","2u2","","","","e-radionica.com footprinti:0603C",""
"C3,C4","2","10uF","","","","KiCAD_Camsat_PCB:0805-NO",""
"C5,C6","2","0.1uF","","","","KiCAD_Camsat_PCB:0603",""
"C7,C18,C19,C21","4","100n","","","","e-radionica.com footprinti:0603C",""
"C8,C9,C13,C16,C20,C25","6","100nF","","","","Capacitor_SMD:C_0603_1608Metric",""
"C10,C12","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C11","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C17","1","22uF","","","","Capacitor_SMD:C_1206_3216Metric",""
"D1","1","RED","","","","KiCAD_Camsat_PCB:LED-0603",""
"D2","1","1N4148","","","","KiCAD_Camsat_PCB:SOD-323",""
"D3,D4,D9","3","LESD5D5.0CT1G","","","","Diode_SMD:D_SOD-523",""
"I2C_PU0","1","S_MODE","","","","KiCAD_Camsat_PCB:SMT-JUMPER_3_2-NC_TRACE_SILK",""
"J3","1","105017-0001","","","","Connector_USB:USB_Micro-B_Molex-105017-0001",""
"J4","1","210-1S-1*3Ppin Gold-plated","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J5","1","DZ127R-11-02-25","","","","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical",""
"JP1","1","SMD_JUMPER","","","","e-radionica.com footprinti:SMD_JUMPER",""
"JP9","1","SMD-JUMPER-CONNECTED_TRACE_SLODERMASK","","","","e-radionica.com footprinti:SMD-JUMPER-CONNECTED_TRACE_SLODERMASK",""
"K1","1","HYC77-TF09-200","","","","e-radionica.com footprinti:HYC77-TF09-200",""
"LED0,SCX0,SDX0","3","JUMPER-SMT_2_NC_TRACE_SILK","","","","KiCAD_Camsat_PCB:SMT-JUMPER_2_NC_TRACE_SILK",""
"LED1","1","0805G (Green)","","","","LED_SMD:LED_0805_2012Metric",""
"LED2","1","FC-2012HRK-620D","","","","LED_SMD:LED_0805_2012Metric",""
"Q1,Q8","2","2N7002T-7-F","","","","Package_TO_SOT_SMD:SOT-523",""
"Q2,Q9","2","SS8050-G_C164885","","","","Package_TO_SOT_SMD:SOT-23",""
"Q3,Q4","2","BSS138","","","","KiCAD_Camsat_PCB:SOT23-WIDE",""
"R1","1","10k","","","","e-radionica.com footprinti:0603R",""
"R2,R25","2","2.2k","","","","KiCAD_Camsat_PCB:0603",""
"R3,R5,R6","3","10k","","","","KiCAD_Camsat_PCB:0603",""
"R4","1","1k","","","","KiCAD_Camsat_PCB:0603",""
"R7,R8,R26,R27","4","10K","","","","KiCAD_Camsat_PCB:0805-NO",""
"R9","1","10K","","","","KiCAD_Camsat_PCB:_0805MP",""
"R10","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","47.5kΩ","","","","Resistor_SMD:R_0805_2012Metric",""
"R12","1","22.1kΩ","","","","Resistor_SMD:R_0805_2012Metric",""
"R13,R17,R18,R21,R22","5","10kΩ","","","","Resistor_SMD:R_0805_2012Metric",""
"R14,R24","2","22Ω","","","","Resistor_SMD:R_0805_2012Metric",""
"R15","1","5.1kΩ","","","","Resistor_SMD:R_0805_2012Metric",""
"R16","1","560Ω","","","","Resistor_SMD:R_0805_2012Metric",""
"R19,R20","2","0Ω","","","","Resistor_SMD:R_0805_2012Metric",""
"R23,R29","2","1kΩ","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1,SW2","2","PTS645SH50SMTR92LFS","","","","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92",""
"U1","1","ISM330DHCX","","","","KiCAD_Camsat_PCB:LGA-14L",""
"U2","1","MIC5225-3.3","","","","KiCAD_Camsat_PCB:SOT23-5",""
"U3","1","SE5218","","","","e-radionica.com footprinti:SOT-23-5",""
"U4","1","TXB0104QPWRQ1","","","","e-radionica.com footprinti:TXB0104QPWRQ1",""
"U5","1","DHT11","","","","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf"
"U7","1","AMS1117-3.3_C347222","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"U8","1","ESP32-WROOM-32E(8MB)","","","","PCM_Espressif:ESP32-WROOM-32E",""
"U9","1","CP2102N-A02-GQFN28R","","","","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",""
"U10","1","BME280","","","","KiCAD_Camsat_PCB:BME280",""
